task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_prismatic_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
libero_drawer,20260818,11,qualified,15,2,TP-GMM additive,True,,2.1116051950957626,0.004127472520426,True,0.9979383356226862,0.005046219304919876,0.00493309521486893
libero_drawer,20260818,11,qualified,15,2,TP-GMM SE(2),True,,2.239829411963001,0.0008204934268040903,True,0.9732756045890273,0.0031089966194130726,0.008397011144980069
libero_drawer,20260818,9,qualified,15,0,TP-GMM additive,True,,3.5242580000776798,0.0038039161139890166,True,0.9964703568532407,0.005132374856388373,0.0285735398956719
libero_drawer,20260818,9,qualified,15,0,TP-GMM SE(2),True,,2.2838047191035002,0.006143697529239188,True,0.8958295023735185,0.00530508635382168,0.002556969572418628
libero_drawer,20260818,13,random,30,1,TP-GMM additive,True,,3.3980217981152236,0.004174450872637753,True,0.998141301796901,0.002769974235629564,0.0015788291944213964
libero_drawer,20260818,13,random,30,1,TP-GMM SE(2),True,,2.4713961658999324,0.005570636675078849,True,0.9150715191844766,0.002371101289947027,0.002783189961386766
libero_drawer,20270818,3,qualified,8,0,TP-GMM additive,True,,1.1878995359875262,0.02498182026063056,True,0.9954508579689686,0.003172679730750243,0.0026932911907214447
libero_drawer,20270818,3,qualified,8,0,TP-GMM SE(2),True,,0.7699873081874102,0.028728491014376224,True,0.9364649244378298,0.004162664509470156,0.0032995617939696083
libero_drawer,20270818,0,random,8,0,TP-GMM additive,True,,1.693051340058446,0.024582834290293232,True,0.9966616181564941,0.002604282717344064,0.002270409189610728
libero_drawer,20270818,0,random,8,0,TP-GMM SE(2),True,,1.2644288230221719,0.025091241505870953,True,0.9696523993941303,0.002658384914526049,0.006212436398216673
libero_drawer,20260818,6,random,15,0,TP-GMM additive,True,,3.88262722408399,0.003828381310388117,True,0.9975332260622055,0.007555588609344724,0.0014025122654594538
libero_drawer,20260818,6,random,15,0,TP-GMM SE(2),True,,2.368131190072745,0.002185201825734752,True,0.9104474415562447,0.0025369336973852415,0.0036704263700443945
libero_drawer,20270818,4,qualified,8,1,TP-GMM additive,True,,1.0652368641458452,0.024484471320973894,True,0.9961953668696788,0.0019250043072189477,0.001591444071028839
libero_drawer,20270818,4,qualified,8,1,TP-GMM SE(2),True,,0.9358686089981347,0.02589003828694627,True,0.9194316181650175,0.0024726283636548373,0.0038505977241280664
libero_drawer,20270818,1,random,8,1,TP-GMM additive,True,,2.064140765927732,0.025467877077436446,True,0.9948815891931001,0.004047220679078306,0.005118947979009072
