dataset,episode_index,n_frames,extraction_status,grasp_start,release_frame,window_start,window_end_exclusive,n_grasp_segments,transport_distance_m
insert_20degree,17,640,ok,184,545,524,539,1,0.18262784968127374
insert_20degree,18,591,ok,139,483,462,477,1,0.17387479888491122
insert_20degree,19,605,ok,194,510,489,504,1,0.15541047004999123
insert_20degree,20,695,ok,224,535,514,529,1,0.1746728227381535
insert_20degree,21,593,ok,173,510,489,504,1,0.16658304893926842
insert_20degree,22,670,ok,160,469,448,463,1,0.16073963816852305
insert_20degree,23,622,ok,184,471,450,465,1,0.17742346817063837
insert_20degree,24,637,ok,214,539,518,533,1,0.17825787350756667
insert_20degree,25,658,ok,220,512,491,506,1,0.17407038187218998
insert_20degree,26,570,ok,164,479,458,473,1,0.18326693520975149
insert_20degree,27,630,ok,217,535,514,529,1,0.17802143703356071
insert_20degree,28,660,ok,193,509,488,503,1,0.16962525418682223
insert_20degree,29,575,ok,172,487,466,481,1,0.18529550698757122
insert_20degree,30,861,ok,171,777,756,771,1,0.16968354953659423
insert_20degree,31,565,ok,145,458,437,452,1,0.17622436038726627
insert_20degree,32,612,ok,178,495,474,489,1,0.1793281799217811
insert_20degree,33,568,ok,134,453,432,447,1,0.16330886784941823
insert_20degree,34,556,ok,152,442,421,436,1,0.1650713191899395
insert_20degree,35,741,ok,169,501,480,495,1,0.17654660112242546
insert_20degree,36,543,ok,149,443,422,437,1,0.1708073284966441
insert_20degree,37,619,ok,208,533,512,527,1,0.1647507393282915
insert_20degree,38,643,ok,207,514,493,508,1,0.1806219822354607
insert_20degree,39,635,ok,153,468,447,462,1,0.1774605340422236
insert_20degree,40,564,ok,145,462,441,456,1,0.16790991271012035
insert_20degree,41,564,ok,143,460,439,454,1,0.18423567528978615
insert_20degree,42,478,ok,156,346,325,340,1,0.1691588624248034
insert_20degree,43,568,ok,156,449,428,443,1,0.17369893824660984
insert_20degree,44,549,ok,142,449,428,443,1,0.17624420506002939
insert_20degree,45,568,ok,150,465,444,459,1,0.16837275517066594
insert_20degree,46,685,ok,160,472,451,466,1,0.17311313457155106
insert_20degree,47,568,ok,141,441,420,435,1,0.1724368795085299
insert_20degree,48,558,ok,134,426,405,420,1,0.17621054368566957
insert_20degree,49,502,ok,150,363,342,357,1,0.17087368408343842
insert_20degree,50,586,ok,142,448,427,442,1,0.18947408625497877
insert_20degree,51,647,ok,177,494,473,488,1,0.1738060637464942
